username;date;retweets;favorites;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kizo2703;2015/11/19;0;1;"@Twitexter @_Jadranka_Kosor @NLMost Ha?! S trenutnom osobom u uredu?! Šta će nam onda izbori za Sabor?!";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
emagazin2;2015/11/19;0;0;"Пред избори, Македонците најзагрижени за парчето леб ; See more at: http://emagazin.mk/vesti/vest/15076?title=pred;izbori;makedoncite;najzagrizheni;za;parcheto;leb#sthash.2bFSHXDV.dpufhttp://emagazin.mk/vesti/vest/15076?title=pred;izbori;makedoncite;najzagrizheni;za;parcheto;leb …";;;;;;;;;;;;;;;;;;
24sata_HR;2015/11/19;0;0;"''Obje strane su za reforme, pitanje je misle li to stvarno'' http://bitly.com/1S6C7jE  #izboriHR #izbori2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filipraunic;2015/11/19;0;2;"Je li Karamarkovo odbijanje prijedloga Mosta, uzmak gubitnika #izboriHR i kasnije opravdanje "Preko toga nismo mogli"? #politikahr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vijestihr;2015/11/19;0;1;"Evo koje je zahtjeve @NLmost danas stavio pred @SDPHrvatske i @HDZ001 http://ow.ly/UQsx9  #izboriHR pic.twitter.com/yweweNzyA5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/19;0;0;"Most objavio reformske zahtjeve za područje lokalne i regionalne samouprave te javne uprave http://bit.ly/1PC3Cnn ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
informativaba;2015/11/19;0;0;"Tuka, Musa i Sadiković ostali u konkurenciji za najboljeg sportistu BiH u 2015. godini http://goo.gl/9ZVl7H  #sportiste #BiH #izbori";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barometar_hr;2015/11/19;0;0;"'Panika u @HDZ001 i @SDPHrvatske: @NLMost radi upravo ono zbog čega je izabran!' http://bit.ly/1HaPhMg  #izboriHR #politikahr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tkrajac;2015/11/19;0;0;"#izboriHR DIP pravobraniteljici i DORH;u prijavio liste bez 40% žena!I @SDPHrvatske i @HDZ001 mogla bi stići kazna http://m.dnevnik.hr/clanak/vijesti/hrvatska/parlamentarni;izbori;2015;dip;nadleznima;prijavio;tko;nije;postovao;zensku;kvotu;;;416902.html …";;;;;;;;;;;;;;;;;
vijestihr;2015/11/19;0;1;". @NLMost i @SDPHrvatske za manji broj zaposlenih u državnoj službi i novi zakon o plaćama http://ow.ly/UQhCv  pic.twitter.com/9nmYkwIaKi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MediaServis2;2015/11/19;0;0;"Bosansko Grahovo: Odgođeni prijevremeni izbori za načelnika Općine Bosansko Grahovo zakazani za nedjelju, 06. decembar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vecernji_list;2015/11/19;2;1;"Ivan Kovačić: Složili smo se oko reformi lokalne samouprave i regionalne uprave http://bit.ly/1l7dCIr ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vijestihr;2015/11/19;1;2;". @HDZ001 koalicija ni na jednoj od 11 izbornih listi nije ispoštovala 'žensku kvotu' http://ow.ly/UQcR1  pic.twitter.com/mGycNRmWdm";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FaktografHR;2015/11/19;0;0;"Je li #SDP ionako planirao reforme kakve želi #MOST? http://faktograf.hr/?p=776  #izboriHR, #izbori2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
